,P_DAS28,LM_DAS28,P_VAS,LM_VAS,P_TJC,LM_TJC,P_SJC,LM_SJC,P_CRP,LM_CRP
WDR11,0.12974559,-0.068533802,0.25359986,-0.002695644,0.200570295,-0.01020762,0.123219181,-0.02062249,0.469047253,0.002121375
AGXT,0.883610673,0.006101057,0.200597074,0.002831958,0.671633352,0.003128709,0.632229953,-0.005645755,0.470345078,-0.001708976
NONO,0.364089089,-0.046484333,0.504192187,-0.001841537,0.453481197,-0.006694225,0.852639486,-0.002917977,0.471914945,-0.002165321
ADH1C,0.707559798,0.015776557,0.774934615,-0.00064,0.987230195,0.000120535,0.365136143,0.010699749,0.472953709,-0.001827523
IGLV3.9,0.541606258,-0.027782297,0.5051325,-0.001589941,0.97977314,0.000200738,0.096321626,-0.020904005,0.479175714,0.002262867
GPLD1,0.03270307,-0.140328261,0.05540163,-0.006612282,0.030495868,-0.025680868,0.229453101,-0.02125754,0.479410164,-0.002326953
PRKACB,0.772331517,0.016013333,0.237677091,-0.003637317,0.191395108,0.012439471,0.794334812,-0.00472414,0.481957366,-0.002175944
LAMA5,0.746541675,0.016965203,0.426017664,-0.002228216,0.422998562,0.007632201,0.821235723,0.003231194,0.482891531,-0.002336434
PLP2,0.021311851,0.154189463,0.11917616,0.005559701,0.025466134,0.025019581,0.035790323,0.055158638,0.485666289,0.003229787
PDZK1,0.240984781,-0.093777273,0.540578476,0.00271994,0.418924442,-0.010854869,0.120469497,-0.049326483,0.48690179,0.003452752
TPM3,0.49156872,-0.028565709,0.349349972,0.002056251,0.480166498,-0.005275013,0.491994154,-0.008063317,0.487553099,-0.00163882
COL1A1,0.403327133,-0.038988884,0.660573904,-0.00115396,0.739348529,0.002678765,0.38385667,-0.012574601,0.489849149,-0.002165289
SLC25A13,0.156193957,-0.099718205,0.349831158,-0.003626947,0.595782461,-0.006846197,0.187700304,-0.028846136,0.49079712,-0.002315574
ARF4,0.289635176,-0.048945116,0.943604653,-0.000172672,0.628103041,-0.004006348,0.222686497,-0.015148618,0.491134152,-0.001836314
ANXA11,0.660145668,0.018581442,0.832871207,-0.000476191,0.231205158,0.009033945,0.599630874,0.006266097,0.492854303,-0.00165205
ARPC1B,0.222129034,-0.055004848,0.09724116,-0.004040217,0.793692478,-0.002103142,0.813535253,-0.003043747,0.493791315,-0.001691333
CTH,0.808872362,-0.015985859,0.596552237,-0.001927889,0.628330003,-0.006023449,0.813373456,-0.004347499,0.494102181,-0.002062156
RPL15,0.711909598,0.020388835,0.269115092,0.003188853,0.706972621,0.003630468,0.27847535,-0.019262231,0.496664256,0.002198504
PRMT1,0.433572894,0.05527397,0.560991175,-0.002153999,0.354047758,0.012803456,0.845266311,0.004309765,0.502181319,0.002039943
IGHV1.18,0.680323436,0.016977574,0.302625345,0.002268055,0.494530166,0.005041781,0.112482542,-0.018606109,0.508002664,0.001561865
CPB2,0.461329723,0.05050178,0.016625929,0.008021922,0.18460245,0.01695788,0.300468667,-0.023121323,0.508037055,-0.001912502
SYNGR2,0.186239868,-0.062845923,0.271171513,-0.002804119,0.148481421,-0.012468148,0.250048876,-0.01521117,0.508452263,-0.001781082
ATP5C1,0.816851857,0.009518329,0.664237296,-0.000951384,0.382403967,0.006419443,0.856151604,0.002125244,0.509728063,-0.001563506
SCCPDH,0.843962443,-0.009861131,0.769322213,-0.00082427,0.678699399,-0.003776336,0.316051643,0.013391597,0.509795331,-0.001719923
CPN2,0.811668929,-0.010338036,0.434916542,-0.001829943,0.977023167,-0.000221746,0.773319069,0.003465225,0.510125854,0.001594705
CSRP1,0.635442163,0.019403831,0.043202045,0.004422515,0.486889281,0.005101896,0.785165962,-0.003191535,0.510173758,-0.001550909
HRG,0.108307748,-0.068959574,0.947993587,-0.000151848,0.523691752,-0.004826432,0.133542053,-0.018130719,0.51147028,-0.001638096
KATNAL2,0.131887971,-0.078135053,0.091784105,-0.004634078,0.210586955,-0.011884427,0.552869888,-0.007754554,0.512730589,0.002148545
NDUFA9,0.641385346,0.028511762,0.252214771,0.003635823,0.477539997,0.007606787,0.755694363,-0.004625232,0.512810253,-0.002117757
BLVRB,0.499478776,-0.037975266,0.012876934,-0.007257546,0.320097555,-0.00986863,0.777153428,0.004240338,0.513305979,0.002033288
EHD2,0.670418817,-0.018530786,0.26819731,-0.002606876,0.57062002,0.004468639,0.731599149,-0.004592116,0.517468335,-0.001546835
ITGB1,0.573356511,-0.023551734,0.22430295,-0.002716585,0.666320301,-0.003210688,0.969467225,-0.000457193,0.517680395,-0.001545359
RPLP0,0.051108226,-0.086072281,0.439151315,-0.001833891,0.289586881,-0.008623801,0.118033696,-0.018891818,0.518659953,-0.001551762
IGHG1,0.832162619,-0.008624476,0.570557278,-0.001234032,0.75480732,-0.002278504,0.803118002,0.002901943,0.519159511,0.001509264
NUDT5,0.350699016,-0.043854847,0.991652355,2.77E-05,0.793876322,-0.00228243,0.497674813,-0.009530798,0.523870414,-0.00165752
RAB8A,0.533969556,0.027603223,0.318878485,0.002379,0.275097996,0.008560041,0.878407093,0.001846429,0.5239282,0.001665706
SERPINF2,0.287160337,0.043331074,0.565308292,0.001253939,0.949542867,-0.000462593,0.224732292,0.014106664,0.524558729,0.001488324
PGM5,0.177177839,-0.05876999,0.278675149,-0.002539002,0.155381987,-0.011133498,0.954481828,-0.000765085,0.52497826,0.001890576
MTHFD1,0.19838955,-0.052760303,0.16626067,-0.003038918,0.421314099,-0.005943332,0.297667007,0.012209765,0.528909772,-0.001485234
YWHAB,0.1513632,0.058415405,0.94104844,0.000161408,0.258551592,0.00823163,0.090927144,0.019622857,0.529700432,0.00146988
VCAN,0.184593182,-0.087879141,0.256951847,-0.004166799,0.472160415,-0.00812017,0.188632981,-0.028582485,0.531860686,-0.001983115
MOGS,0.989761062,-0.000797741,0.581487005,-0.001801825,0.805750952,0.002777313,0.390987049,-0.014040909,0.532567493,-0.002221876
PIGR,0.060476321,-0.103566382,0.638531142,-0.001293158,0.259984645,-0.011126831,0.97895696,0.00041193,0.534369831,-0.001775194
CLCA1,0.062927231,-0.077002495,0.084525164,-0.003797391,0.476575194,-0.005429365,0.009192719,-0.03057007,0.535830636,-0.001504805
IGHG3,0.900920649,0.005091125,0.812382258,0.000518964,0.903093756,0.000892636,0.135248591,-0.017445702,0.535904653,0.001456324
BDH2,0.653431374,0.019707053,0.727454643,0.000836764,0.642626249,0.003682621,0.964025464,0.000616097,0.536157025,0.001499093
PRDX1,0.221561207,-0.049895086,0.72063575,-0.000781183,0.208567392,-0.0092019,0.455046508,-0.008726879,0.536531874,-0.001452825
LGALS3BP,0.291904069,0.046567453,0.544003361,0.001443223,0.325172137,0.00774205,0.411023446,0.010151166,0.538174889,0.001492966
S100A6,0.231809804,-0.064285002,0.705418888,-0.001080535,0.74743794,-0.003046863,0.282727734,-0.015254283,0.539266654,-0.002268624
KPNB1,0.12489896,0.071482668,0.126890689,0.003756619,0.040848209,0.017284725,0.85834816,0.002436541,0.541720799,0.002243013
PDIA6,0.545693931,-0.025483067,0.072440813,-0.004036543,0.165328691,0.010487207,0.416966889,-0.009684191,0.543051994,-0.001448229
COL14A1,0.213744656,-0.050842136,0.894997675,-0.000288865,0.562680852,-0.004247176,0.53084035,-0.007335795,0.547701645,-0.001415828
HNRNPA0,0.732668249,-0.015179733,0.050019469,-0.004591318,0.615078481,0.003944922,0.875959424,-0.001947492,0.548097705,-0.001508045
C1QB,0.210534478,-0.055293303,0.146243166,-0.003504808,0.240914907,-0.009169237,0.443978785,-0.009414949,0.549874896,-0.001567302
RALY,0.761803852,-0.019745455,0.73697225,-0.001216605,0.453358792,-0.008861678,0.820322246,-0.005603296,0.552861139,-0.003023344
MSN,0.711160697,-0.015164214,0.947755316,0.00014349,0.701199112,0.002817092,0.954610966,0.000666741,0.553191281,-0.001397209
PRDX4,0.344817325,-0.042112376,0.327465255,-0.00239649,0.249523711,-0.009198868,0.123739164,0.018634886,0.553261444,-0.001532795
SDHA,0.85875614,0.007626889,0.99407623,-1.73E-05,0.808399044,0.001840662,0.486103531,-0.008569691,0.556368354,0.001649126
PLG,0.00340301,-0.118955071,0.006576752,-0.005906339,0.008306165,-0.019239672,0.064755691,-0.021529451,0.557393638,0.001378777
F2,0.254420871,-0.046666609,0.905340461,-0.000260581,0.197499208,-0.009458367,0.496191445,-0.007974312,0.55928598,-0.001376734
UGDH,0.625431127,0.026725877,0.794178809,-0.000799783,0.099044637,0.016434293,0.399700318,0.014295107,0.559407858,-0.001735196
PARK7,0.118779591,-0.063767363,0.116538205,-0.003430401,0.47107578,-0.005288821,0.939438292,-0.000889761,0.559620553,-0.001374289
PSMB1,0.455312433,-0.035599675,0.452605777,-0.00183336,0.712825334,-0.003099814,0.285838556,0.018244176,0.560479694,-0.001643895
AHNAK,0.892251073,-0.005547515,0.379835893,-0.001922113,0.498955382,-0.004963028,0.595530375,0.006217142,0.560719897,0.00137079
IGLV3.10,0.387373738,0.049352968,0.310795288,0.003208667,0.773516358,0.002994344,0.955174261,-0.00082206,0.562690012,0.001759699
CANX,0.371252035,0.050077582,0.269277905,0.003202526,0.287376078,0.010352511,0.810751223,-0.003522387,0.563122654,0.002217668
