,HP,PRE,RA,RA_P,RA_N
TSPAN8,0.3776575,0.1463766,0.200949229,0.181784901,0.278069033
TST,0.3638743,0.2698067,0.215608686,0.233777513,0.085593297
TTR,0.4256192,0.7595959,0.585511508,0.666048927,0.354620586
TUFM,0.2927066,0.111044704,0.14817632,0.148923821,0.128181943
TXN,0.1444589,0.04453212,0.053922346,0.058035334,0.043942591
TXNDC17,0.261534,0.1547075,0.165899268,0.169350558,0.170456439
UBA52,0.05614244,0.1604178,0.105890404,0.120833391,0.041773942
UBE2D2,0.1828524,0.1089407,0.932295392,1.485082464,0.107686756
UBE2N,0.1491344,0.1662775,0.257708596,0.257642341,0.269612633
UGDH,0.3515739,0.16269165,0.171851749,0.181731066,0.155214937
UGT2B4,0.1343607,0.189411,0.215481408,0.2212261,0.186990033
UGT2B7,0.3441474,0.103618,0.117411429,0.122979367,0.081629231
UQCR10,0.1597271,0.1037587,0.056896482,0.054998801,0.06272311
UQCRC1,0.3296084,0.20321415,0.239549182,0.248146224,0.199405343
UQCRC2,0.1149516,0.2063297,0.130922425,0.131162674,0.13504673
VAPB,0.56236,0.1745869,0.109191704,0.12234596,0.080049128
VAT1,0.1116223,0.2530093,0.22574894,0.255619748,0.075628092
VDAC2,0.1868173,0.05109024,0.053936099,0.068274442,0.044776582
VIL1,0.1088876,0.3678031,0.187328165,0.202178499,0.134318042
VTN,3.255784,2.0153335,1.792879399,2.021157539,0.599685899
WDR1,0.2210955,0.1686454,0.14572835,0.153812139,0.093682911
WDR11,0.06890403,0.03499584,0.031829842,0.032853118,0.025601807
X.4,3.483246,2.916458,1.666388342,1.795227315,0.793712646
X2.Mar,1.726868,0.1589916,0.336676051,0.350548108,0.334402085
XRCC5,0.1373061,0.2177435,0.201072581,0.21284595,0.062789806
YWHAB,0.08790414,0.1266437,0.151205981,0.170962214,0.041320014
YWHAH,0.2234293,0.1438338,0.159621387,0.163453945,0.148941971
